label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Ashkenazi_Germany,0.097319,0.142377,-0.014406,-0.049936,0.010925,-0.018769,-0.001974,-0.001754,0.009858,0.018843,0.003962,-0.001124,0.002512,-0.00267,-0.005049,0.003089,0.002203,-0.001698,-0.000779,-0.001126,-0.003344,-0.002696,0.000875,0.001386,0.000814
Italian_Jew,0.094928,0.145627,-0.018667,-0.056493,0.011294,-0.024542,-0.003995,-0.002792,0.012885,0.019135,0.004514,0.00021,0.002156,-0.002876,-0.00661,-0.001233,-0.0012,-0.001052,-0.001119,-0.003589,-0.003906,-0.001546,-0.000123,0.002362,0.002874
